run opposite right twice after walk around right thrice	RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT RIGHT RUN RIGHT RIGHT RUN	"
The word ""after"" results in the inversion of the two sub-instructions 2) ""run opposite right twice"" and 1) ""walk around right thrice"".
1) ""walk around right thrice"". The word ""around"" results in 4 repetitions, therefore, ""walk around right"" corresponds to 4 RIGHT WALK commands. Because of the word ""thrice"", ""walk around right thrice"" results in 3 x 4 = 12 RIGHT WALK commands.
2) ""run opposite right twice"". The word ""opposite"", results in 2 repetitions of command RIGHT, therefore, ""run opposite right"" corresponds to 1 RIGHT RIGHT RUN command. Because of the word ""twice"", ""run opposite right twice"" results in 2 RIGHT RIGHT RUN commands.
Output: RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK"
jump around left after look around right twice	RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP	"
The word ""after"" results in the inversion of the two sub-instructions 2) ""jump around left"" and 1) ""look around right twice"".
1) ""look around right twice"". The word ""around"" results in 4 repetitions, therefore, ""look around right"" results in 4 RIGHT LOOK commands. Because of the word ""twice"", ""look around right twice"" results in 2 x 4 = 8 RIGHT LOOK commands.
2) ""jump around left"". The word ""around"" results in 4 repetitions, therefore, ""jump around left"" corresponds to 4 LEFT JUMP commands.
Output: RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP"
run twice and walk around right thrice	RUN RUN RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK	"
Because of the word ""and"", the instruction can be divided in two sub-instructions: 1) ""run twice"" and 2) ""walk around right thrice""
1) ""run twice"" results in 2 RUN commands.
2) ""walk around right thrice"". The word ""around"" results in 4 repetitions, therefore, ""walk around right"" corresponds to 4 RIGHT WALK commands. Because of the word ""thrice"", ""walk around right thrice"" results in 3 x 4 = 12 RIGHT WALK commands.
Output: RUN RUN RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT"
jump opposite left twice and walk around left thrice	LEFT LEFT JUMP LEFT LEFT JUMP LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK	"
Because of the word ""and"", the instruction can be divided in two sub-instructions: 1) ""jump opposite left twice"" and 2) ""walk around left thrice""
1) ""jump opposite left twice"". The word ""opposite"", results in 2 repetitions of command LEFT, therefore, ""jump opposite left"" corresponds to 1 LEFT LEFT JUMP command. Because of the word ""twice"", ""jump opposite left twice"" results in 2 LEFT LEFT JUMP commands.
2) ""walk around left thrice"". The word ""around"" results in 4 repetitions, therefore, ""walk around left"" corresponds to 4 LEFT WALK commands. Because of the word ""thrice"", ""walk around left thrice"" results in 3 x 4 = 12 LEFT WALK commands.
Output: LEFT LEFT JUMP LEFT LEFT JUMP LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LE"
turn opposite right thrice and run around left thrice	RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN	"
Because of the word ""and"", the instruction can be divided in two sub-instructions: 1) ""turn opposite right thrice"" and 2) ""run around left thrice""
1) ""turn opposite right thrice"". The word ""opposite"", results in 2 repetitions of command RIGHT, therefore, ""turn opposite right"" corresponds to 1 RIGHT RIGHT command. Because of the word ""thrice"", ""turn opposite right thrice"" results in 3 RIGHT RIGHT commands.
2) ""run around left thrice"". The word ""around"" results in 4 repetitions, therefore, ""run around left"" corresponds to 4 LEFT RUN commands. Because of the word ""thrice"", ""run around left thrice"" results in 3 x 4 = 12 LEFT RUN commands.
Output: RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN"
look around right and look around right thrice	RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK	"
Because of the word ""and"", the instruction can be divided in two sub-instructions: 1) ""look around right"" and 2) ""look around right thrice""
1) ""look around right"". The word ""around"" results in 4 repetitions, therefore, ""look around right"" results in 4 RIGHT LOOK commands.
2) ""look around right thrice"". The word ""around"" results in 4 repetitions, therefore, ""look around right"" corresponds to 4 RIGHT LOOK commands. Because of the word ""thrice"", ""look around right thrice"" results in 3 x 4 = 12 RIGHT LOOK commands.
Output: RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT"
turn around right after run around left thrice	LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN RIGHT RIGHT RIGHT RIGHT	"
The word ""after"" results in the inversion of the two sub-instructions 2) ""turn around right"" and 1) ""run around left thrice"".
1) ""run around left thrice"". The word ""around"" results in 4 repetitions, therefore, ""run around left"" corresponds to 4 LEFT RUN commands. Because of the word ""thrice"", ""run around left thrice"" results in 3 x 4 = 12 LEFT RUN commands.
2) ""turn around right"". The word ""around"" results in 4 repetitions, therefore, ""turn around right"" results in 4 RIGHT commands.
Output: LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN RIGHT RIGHT RIGHT RIGHT"
jump around right twice and turn around right thrice	RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT	"
Because of the word ""and"", the instruction can be divided in two sub-instructions: 1) ""jump around right twice"" and 2) ""turn around right thrice""
1) ""jump around right twice"". The word ""around"" results in 4 repetitions, therefore, ""jump around right"" corresponds to 4 RIGHT JUMP commands. Because of the word ""twice"", ""jump around right twice"" results in 2 x 4 = 8 RIGHT JUMP commands.
2) ""turn around right thrice"". The word ""around"" results in 4 repetitions, therefore, ""turn around right"" corresponds to 4 RIGHT commands. Because of the word ""thrice"", ""turn around right thrice"" results in 3 x 4 = 12 RIGHT commands.
Output: RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT J"
jump left after walk around left thrice	LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT JUMP	"
The word ""after"" results in the inversion of the two sub-instructions 2) ""jump left"" and 1) ""walk around left thrice"".
1) ""walk around left thrice"". The word ""around"" results in 4 repetitions, therefore, ""walk around left"" corresponds to 4 LEFT WALK commands. Because of the word ""thrice"", ""walk around left thrice"" results in 3 x 4 = 12 LEFT WALK commands.
2) ""jump left"" results in 1 LEFT JUMP command.
Output: LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LE"
run around right twice and jump around right twice	RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP	"
Because of the word ""and"", the instruction can be divided in two sub-instructions: 1) ""run around right twice"" and 2) ""jump around right twice""
1) ""run around right twice"". The word ""around"" results in 4 repetitions, therefore, ""run around right"" corresponds to 4 RIGHT RUN commands. Because of the word ""twice"", ""run around right twice"" results in 2 x 4 = 8 RIGHT RUN commands.
2) ""jump around right twice"". The word ""around"" results in 4 repetitions, therefore, ""jump around right"" corresponds to 4 RIGHT JUMP commands. Because of the word ""twice"", ""jump around right twice"" results in 2 x 4 = 8 RIGHT JUMP commands.
Output: RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP"
